id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung
12203,11279,KITZBUEHEL,12.389167,47.44389,772.0,2014-11-18,2100-12-31,TIR,ja,ja
12207,,KITZBUEHEL,12.366667,47.466667,783.0,1961-01-01,1973-08-31,TIR,ja,nein
12210,11135,HAHNENKAMM,12.366667,47.433334,1665.0,1961-01-01,2001-04-30,TIR,ja,nein
12212,11135,HAHNENKAMM-EHRENBACHHOEHE,12.366667,47.416668,1760.0,1968-08-01,1975-12-31,TIR,ja,nein
12215,11135,HAHNENKAMM-EHRENBACHHOEHE,12.359167,47.418335,1793.8,1992-11-12,2100-12-31,TIR,ja,ja
12220,,UTTENDORF,12.569167,47.262779,803.0,1973-12-18,1974-09-30,SAL,nein,nein
12300,,SAALBACH,12.643056,47.392223,1022.0,1975-10-23,2000-11-30,SAL,ja,nein
12301,11366,SAALBACH,12.689167,47.378334,1022.0,1992-06-01,2001-08-31,SAL,ja,nein
12302,11366,SAALBACH,12.648334,47.387779,975.0,2008-09-30,2100-12-31,SAL,ja,ja
12311,11340,SCHMITTENHOEHE,12.738055,47.328609,1956.0,1983-10-01,2100-12-31,SAL,ja,ja
13250,11174,ST.MICHAEL B. LEOBEN,15.005,47.335556,570.0,1984-09-01,2013-05-31,STMK,ja,ja
13300,11175,BRUCK/MUR,15.266666,47.416668,489.0,1929-07-01,1976-05-31,STMK,ja,nein
13305,11370,KAPFENBERG,15.298333,47.445835,504.7,1997-02-01,2018-05-23,STMK,ja,ja
13308,11249,FROHNLEITEN,15.315,47.255554,421.0,2008-09-01,2100-12-31,STMK,ja,ja
13726,,SCHOENAU,16.283333,47.333332,505.0,1991-01-01,1991-05-31,BGL,ja,nein
13805,11397,HIRSCHENSTEIN,16.379168,47.345276,858.9,2007-02-01,2014-09-16,BGL,ja,ja
13906,11393,LUTZMANNSBURG,16.660555,47.464169,201.0,1995-10-01,2000-05-31,BGL,ja,ja
14104,11102,BLUDENZ,9.823611,47.154167,564.8,2007-08-01,2015-09-09,VBG,nein,ja
14110,,LAZ,9.816667,47.183334,900.0,1976-12-01,1976-12-31,VBG,nein,nein
14200,,VANDANS,9.864445,47.089443,670.0,1977-07-01,2008-05-31,VBG,ja,ja
14400,11112,LANDECK,10.566667,47.133335,818.0,1978-01-01,1981-12-31,TIR,nein,nein
14500,,HOCHSERFAUS,10.6,47.033333,1815.0,1961-01-01,1976-12-31,TIR,ja,ja
14525,,FAGGEN,10.683333,47.083332,900.0,1961-01-01,1969-03-31,TIR,ja,nein
14631,11117,UMHAUSEN,10.928889,47.139168,1035.0,2003-07-01,2100-12-31,TIR,nein,ja
14801,11128,BRENNER,11.513333,47.005554,1445.0,1992-11-01,2009-03-31,TIR,ja,ja
14812,11126,PATSCHERKOFEL,11.462222,47.208889,2251.0,1993-08-01,2100-12-31,TIR,ja,ja
14822,11123,RINN,11.503889,47.249168,924.0,2007-11-01,2100-12-31,TIR,ja,ja
14825,11326,SCHMIRN,11.580277,47.087223,1464.0,2004-11-01,2100-12-31,TIR,nein,ja
15001,11322,MAYRHOFEN,11.850555,47.159443,643.0,1992-08-01,2007-08-31,TIR,ja,ja
15100,11136,KRIMML,12.183333,47.233334,1062.0,1969-01-01,1976-04-30,SAL,nein,nein
15201,,MATREI-PROSSEG,12.533334,47.016666,950.0,1976-01-01,1989-12-31,TIR,ja,nein
15320,11138,RUDOLFSHUETTE,12.616667,47.133335,2304.0,1980-03-01,2002-02-28,SAL,ja,nein
15340,,KALS,12.65,47.0,1347.0,1976-01-01,1989-12-31,TIR,nein,nein
15401,,RAURIS,12.983334,47.25,916.0,1989-07-01,1993-12-31,SAL,ja,nein
15410,11146,SONNBLICK,12.9575,47.054165,3109.0,1887-02-01,2009-04-06,SAL,ja,ja
