,Kurzbeschreibung,Beschreibung,Einheit
WSD,Windrichtung der Windspitze,Windrichtung der Windspitze -  ddx zum Zeitpunkt des maximalen ffx der Stunde ((hh-1):10 - hh:00),°
WSD_qflag,Qualitätsqflag für WSD,"Qualitätsqflag für WSD - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
WSD_typ,Qualitätstyp für WSD,"Qualitätstyp für WSD - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
WSK,Windspitzen,Windspitzen,km/h
WSK_qflag,Qualitätsqflag für WSK,"Qualitätsqflag für WSK - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
WSK_typ,Qualitätstyp für WSK,"Qualitätstyp für WSK - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
WSX,Windspitzen,Windspitzen -  Maximum von ffx (in der Stunde (hh-1):10- hh:00),m/s
WSX_qflag,Qualitätsqflag für WSX,"Qualitätsqflag für WSX - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
WSX_typ,Qualitätstyp für WSX,"Qualitätstyp für WSX - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
WSZ,Zeit der Windspitze,Zeit der Windspitze -  zum maximalen ffx gehöriges zeitx (hh:mm) im Format hhmm,
WSZ_qflag,Qualitätsqflag für WSZ,"Qualitätsqflag für WSZ - Qualitätsflag={0-2: ungeprüft, 3: automatisch geprüft}",
WSZ_typ,Qualitätstyp für WSZ,"Qualitätstyp für WSZ - Qualitätsflag={0-2: nicht geprüft, 3-5: automatisch geprüft, 6: manuell endgeprüft}",
